Term,Lang,Type,kyotoDomainRelevance,kyotoDomainRelevance.raw,termFrequency,hyponymCount,localDocFrequency
,_TOTAL_DOCS_,,,37905
reference,,SingleWord,100.0,4980.0,384,14,332
office,,SingleWord,100.0,3498.0,111,32,106
accounting,,SingleWord,100.0,6648.0,1700,3,1662
branch,,SingleWord,100.0,3020.0,156,19,151
arrangement,,SingleWord,100.0,4230.0,533,9,423
edmcouncil,,SingleWord,100.0,36660.0,37960,0,36660
agency,,SingleWord,100.0,7392.0,267,31,231
marketsindividuals,,SingleWord,100.0,10917.0,10917,0,10917
license,,SingleWord,100.0,3916.0,360,10,356
order,,SingleWord,100.0,2940.0,161,19,147
risk,,SingleWord,100.0,3434.0,130,33,101
trading,,SingleWord,100.0,11433.0,345,36,309
interest,,SingleWord,100.0,51912.0,1026,55,927
functionalentities,,SingleWord,100.0,14803.0,14854,0,14803
representation,,SingleWord,100.0,3071.0,94,36,83
role,,SingleWord,100.0,4902.0,165,37,129
day,,SingleWord,100.0,19866.0,402,76,258
example,,SingleWord,100.0,10471.0,309,36,283
change,,SingleWord,100.0,20492.0,228,108,188
payment,,SingleWord,100.0,55811.0,616,118,469
event,,SingleWord,100.0,33150.0,470,101,325
commodity,,SingleWord,100.0,5252.0,238,25,202
scheme,,SingleWord,100.0,9632.0,195,55,172
restriction,,SingleWord,100.0,3264.0,105,33,96
definition,,SingleWord,100.0,86873.0,1295,108,797
element,,SingleWord,100.0,3556.0,131,27,127
act,,SingleWord,100.0,4284.0,107,50,84
name,,SingleWord,100.0,8476.0,196,51,163
case,,SingleWord,100.0,5624.0,177,36,152
card,,SingleWord,100.0,3248.0,161,27,116
transaction,,SingleWord,100.0,57252.0,848,77,734
time,,SingleWord,100.0,27840.0,517,63,435
rate,,SingleWord,100.0,179592.0,1362,167,1069
relationship,,SingleWord,100.0,5244.0,145,45,114
share,,SingleWord,100.0,20104.0,972,27,718
capital,,SingleWord,100.0,5020.0,259,19,251
part,,SingleWord,100.0,16856.0,203,85,196
offering,,SingleWord,100.0,3024.0,125,27,108
measure,,SingleWord,100.0,11645.0,156,84,137
authority,,SingleWord,100.0,9800.0,219,49,196
court,,SingleWord,100.0,31416.0,411,135,231
point,,SingleWord,100.0,3132.0,121,28,108
institution,,SingleWord,100.0,5688.0,194,35,158
entity,,SingleWord,100.0,112035.0,1281,104,1067
dividend,,SingleWord,100.0,8262.0,360,26,306
code,,SingleWord,100.0,74778.0,687,120,618
schedule,,SingleWord,100.0,6232.0,181,40,152
right,,SingleWord,100.0,3696.0,148,27,132
investment,,SingleWord,100.0,5149.0,320,18,271
note,,SingleWord,100.0,33866.0,359,117,287
security,,SingleWord,100.0,254520.0,1739,179,1414
org,,SingleWord,100.0,36789.0,38126,0,36789
something,,SingleWord,100.0,9009.0,303,32,273
state,,SingleWord,100.0,198576.0,830,251,788
use,,SingleWord,100.0,3886.0,139,28,134
loan,,SingleWord,100.0,70080.0,1248,79,876
domain,,SingleWord,100.0,3306.0,209,18,174
issue,,SingleWord,100.0,17640.0,350,55,315
class,,SingleWord,100.0,8840.0,200,51,170
concept,,SingleWord,100.0,71883.0,588,162,441
jurisdiction,,SingleWord,100.0,217980.0,674,345,630
center,,SingleWord,100.0,6656.0,423,15,416
government,,SingleWord,100.0,113430.0,622,198,570
price,,SingleWord,100.0,80908.0,604,178,452
review,,SingleWord,100.0,3136.0,127,27,112
provision,,SingleWord,100.0,3690.0,103,40,90
set,,SingleWord,100.0,8208.0,127,71,114
holder,,SingleWord,100.0,7788.0,203,43,177
level,,SingleWord,100.0,10725.0,234,54,195
inc,,SingleWord,100.0,53405.0,973,54,971
pool,,SingleWord,100.0,16320.0,346,63,255
calculation,,SingleWord,100.0,3332.0,144,27,119
shareholder,,SingleWord,100.0,5754.0,349,20,274
property,,SingleWord,100.0,26378.0,294,108,242
fnd,,SingleWord,100.0,12920.0,7052,1,6460
country,,SingleWord,100.0,7568.0,214,42,176
type,,SingleWord,100.0,31590.0,296,134,234
facility,,SingleWord,100.0,4428.0,140,35,123
agreement,,SingleWord,100.0,17956.0,328,66,268
fbc,,SingleWord,100.0,49179.0,16634,2,16393
individual,,SingleWord,100.0,6486.0,158,46,138
mtf,,SingleWord,100.0,3840.0,320,11,320
law,,SingleWord,100.0,13604.0,436,37,358
llc,,SingleWord,100.0,3104.0,389,7,388
control,,SingleWord,100.0,4890.0,238,29,163
value,,SingleWord,100.0,72930.0,534,169,429
registration,,SingleWord,100.0,3419.0,297,12,263
iso,,SingleWord,100.0,7156.0,1840,3,1789
number,,SingleWord,100.0,47270.0,382,144,326
status,,SingleWord,100.0,6440.0,129,55,115
ontology,,SingleWord,100.0,3484220.0,39528,94,36676
model,,SingleWord,100.0,3348.0,119,35,93
spec,,SingleWord,100.0,36735.0,38258,0,36735
fibo,,SingleWord,100.0,146652.0,38422,3,36663
corporation,,SingleWord,100.0,12750.0,578,29,425
date,,SingleWord,100.0,388080.0,1603,279,1386
europe,,SingleWord,100.0,22992.0,479,47,479
information,,SingleWord,100.0,16280.0,254,73,220
asset,,SingleWord,100.0,26100.0,449,74,348
bank,,SingleWord,100.0,189677.0,1642,148,1273
company,,SingleWord,100.0,45672.0,655,87,519
shares,,SingleWord,100.0,13746.0,291,57,237
purpose,,SingleWord,100.0,11286.0,233,53,209
section,,SingleWord,100.0,6972.0,529,13,498
version,,SingleWord,100.0,14380.0,728,19,719
debt,,SingleWord,100.0,57540.0,1888,34,1644
instrument,,SingleWord,100.0,66780.0,779,105,630
trade,,SingleWord,100.0,7595.0,239,34,217
rating,,SingleWord,100.0,3875.0,200,30,125
group,,SingleWord,100.0,16851.0,419,40,411
stock,,SingleWord,100.0,14380.0,772,19,719
product,,SingleWord,100.0,14257.0,322,52,269
business,,SingleWord,100.0,25440.0,1253,23,1060
person,,SingleWord,100.0,7667.0,238,40,187
place,,SingleWord,100.0,4587.0,152,32,139
collection,,SingleWord,100.0,3003.0,85,38,77
copyright,,SingleWord,100.0,38935.0,605,64,599
department,,SingleWord,100.0,3145.0,92,36,85
area,,SingleWord,100.0,4268.0,106,43,97
account,,SingleWord,100.0,17094.0,321,73,231
market,,SingleWord,100.0,308070.0,4067,104,2934
council,,SingleWord,100.0,9828.0,371,26,364
maturity,,SingleWord,100.0,4540.0,251,19,227
identifier,,SingleWord,100.0,446160.0,2891,155,2860
